frequency_MHz,signal (cts/s),reference (cts/s),ratio,timestamp
1836.0,250523.82608695648,236516.17391304343,1.0592249229393633,2026-03-16 19:31:58
1836.2000003814696,249616.69565217386,238463.99999999997,1.0467688860883566,2026-03-16 19:31:58
1836.4000007629395,251686.95652173908,238937.04347826084,1.053360972655704,2026-03-16 19:31:58
1836.6000011444091,249716.86956521735,237723.82608695648,1.0504494802884166,2026-03-16 19:31:58
1836.800001525879,251603.47826086954,239515.82608695648,1.0504670291370417,2026-03-16 19:31:58
1837.0000019073486,251069.21739130432,237055.99999999997,1.0591135317870224,2026-03-16 19:31:58
1837.2000022888183,252070.95652173908,240829.21739130432,1.0466792993483385,2026-03-16 19:31:58
1837.4000026702881,248292.17391304343,237812.86956521735,1.0440653374520266,2026-03-16 19:31:58
1837.6000030517578,250662.95652173908,238853.56521739127,1.0494419720869543,2026-03-16 19:31:58
1837.8000034332276,247718.9565217391,240411.82608695648,1.0303942220884743,2026-03-16 19:31:58
1838.0000038146973,249527.652173913,239660.5217391304,1.0411712799554151,2026-03-16 19:31:58
1838.200004196167,250662.95652173908,238491.82608695648,1.051033742474448,2026-03-16 19:31:58
1838.4000045776368,249232.69565217386,239204.17391304343,1.041924526545996,2026-03-16 19:31:58
1838.6000049591064,252454.95652173908,237234.0869565217,1.0641597072346813,2026-03-16 19:31:58
1838.8000053405763,250551.652173913,235464.34782608692,1.0640746868352635,2026-03-16 19:31:58
1839.000005722046,248653.9130434782,238230.2608695652,1.043754526128904,2026-03-16 19:31:58
1839.2000061035155,245837.9130434782,237935.30434782605,1.0332132665949385,2026-03-16 19:31:58
1839.4000064849854,245882.43478260865,236237.9130434782,1.0408254611416052,2026-03-16 19:31:58
1839.600006866455,246984.34782608692,234679.652173913,1.0524318812397733,2026-03-16 19:31:58
1839.800007247925,247240.34782608692,238447.30434782605,1.0368762544928347,2026-03-16 19:31:58
1840.0000076293945,248425.73913043475,237384.34782608692,1.046512718321416,2026-03-16 19:31:58
1840.2000080108642,251803.82608695648,236232.34782608692,1.0659159442140973,2026-03-16 19:31:58
1840.400008392334,247607.652173913,239226.43478260865,1.035034662448239,2026-03-16 19:31:58
1840.6000087738037,246305.39130434778,238809.04347826084,1.031390552538976,2026-03-16 19:31:58
1840.8000091552735,237334.2608695652,236310.2608695652,1.004333286232396,2026-03-16 19:31:58
1841.0000095367432,235597.9130434782,236705.39130434778,0.995321279947335,2026-03-16 19:31:58
1841.2000099182128,235019.13043478256,235069.21739130432,0.9997869267738345,2026-03-16 19:31:58
1841.4000102996827,237712.6956521739,236377.04347826084,1.0056505156095494,2026-03-16 19:31:58
1841.6000106811523,243962.43478260865,235709.21739130432,1.0350144024177172,2026-03-16 19:31:58
1841.8000110626222,249099.13043478256,236694.2608695652,1.0524088312054736,2026-03-16 19:31:58
1842.0000114440918,250612.86956521735,236983.652173913,1.0575112133950169,2026-03-16 19:31:58
1842.2000118255614,245715.47826086954,237078.2608695652,1.036431924882629,2026-03-16 19:31:58
1842.4000122070313,234751.99999999997,235503.30434782605,0.996809792754685,2026-03-16 19:31:58
1842.600012588501,217394.0869565217,232214.2608695652,0.9361788812730671,2026-03-16 19:31:58
1842.8000129699708,203169.39130434778,232470.2608695652,0.8739586325768457,2026-03-16 19:31:58
1843.0000133514404,191844.17391304346,233421.9130434782,0.8218773096821879,2026-03-16 19:31:58
1843.20001373291,189662.60869565213,231023.30434782605,0.820967431104259,2026-03-16 19:31:58
1843.40001411438,196173.91304347824,231540.86956521735,0.8472539358250211,2026-03-16 19:31:58
1843.6000144958496,210103.652173913,234022.9565217391,0.8977907778649734,2026-03-16 19:31:58
1843.8000148773194,225931.13043478256,234930.0869565217,0.9616951722177476,2026-03-16 19:31:58
1844.000015258789,240016.6956521739,238057.73913043475,1.0082289134093885,2026-03-16 19:31:58
1844.2000156402587,247229.21739130432,238975.99999999997,1.0345357583661303,2026-03-16 19:31:58
1844.4000160217286,249766.9565217391,236031.99999999997,1.0581910779967934,2026-03-16 19:31:58
1844.6000164031982,246194.0869565217,238152.34782608692,1.033767204916692,2026-03-16 19:31:58
1844.800016784668,242326.2608695652,235976.34782608692,1.0269091080609405,2026-03-16 19:31:58
1845.0000171661377,237033.73913043475,237278.60869565213,0.998968008255934,2026-03-16 19:31:58
1845.2000175476073,239220.86956521735,237657.04347826084,1.0065801798426377,2026-03-16 19:31:58
1845.4000179290772,239777.39130434778,237245.21739130432,1.0106732348111658,2026-03-16 19:31:58
1845.6000183105468,244813.9130434782,237094.9565217391,1.032556392742295,2026-03-16 19:31:58
1845.8000186920167,247095.652173913,237829.56521739127,1.0389610389610389,2026-03-16 19:31:58
1846.0000190734863,249789.21739130432,239215.30434782605,1.0442024939512378,2026-03-16 19:31:58
1846.200019454956,250473.73913043475,238591.99999999997,1.0497994028736706,2026-03-16 19:31:58
1846.4000198364258,247986.0869565217,237779.47826086954,1.0429246828628937,2026-03-16 19:31:58
1846.6000202178955,249266.0869565217,239382.2608695652,1.041288882689357,2026-03-16 19:31:58
1846.8000205993653,244786.0869565217,238246.9565217391,1.0274468582106984,2026-03-16 19:31:58
1847.000020980835,245682.0869565217,237389.9130434782,1.034930607651913,2026-03-16 19:31:58
1847.2000213623046,248531.47826086954,237990.9565217391,1.04428958937424,2026-03-16 19:31:58
1847.4000217437745,250228.86956521735,237401.04347826084,1.0540344132401893,2026-03-16 19:31:58
1847.600022125244,251798.2608695652,238619.82608695648,1.0552277444783917,2026-03-16 19:31:58
1847.800022506714,250039.652173913,238758.9565217391,1.0472472145820706,2026-03-16 19:31:58
1848.0000228881836,251642.43478260865,235297.39130434778,1.0694654683065279,2026-03-16 19:31:58
1848.2000232696532,248052.86956521735,235592.34782608692,1.0528901802376396,2026-03-16 19:31:58
