frequency_MHz,signal,reference,ratio,cps_prior,timestamp
2000.0000003814696,111753,112455,0.9937575030012005,114827.22087434193,2026-02-01 02:45:40
2002.0000007629394,111035,111170,0.9987856436088873,114827.22087434193,2026-02-01 02:45:40
2004.000001144409,110617,111214,0.9946319707950438,114827.22087434193,2026-02-01 02:45:40
2006.0000015258788,110338,110463,0.9988683993735459,114827.22087434193,2026-02-01 02:45:40
2008.0000019073484,110146,110646,0.9954810838168574,114827.22087434193,2026-02-01 02:45:40
2010.0000022888182,109390,111031,0.9852203438679288,114827.22087434193,2026-02-01 02:45:40
2012.000002670288,110266,110763,0.9955129420474346,114827.22087434193,2026-02-01 02:45:40
2014.0000030517576,109981,110494,0.9953572139663692,114827.22087434193,2026-02-01 02:45:40
2016.0000034332274,110582,110744,0.9985371667991042,114827.22087434193,2026-02-01 02:45:40
2018.000003814697,110210,111440,0.9889626704953338,114827.22087434193,2026-02-01 02:45:40
2020.0000041961669,110724,111828,0.9901276961047323,114827.22087434193,2026-02-01 02:45:40
2022.0000045776367,111230,112248,0.9909307960943625,114827.22087434193,2026-02-01 02:45:40
2024.0000049591063,112024,112737,0.9936755457391984,114827.22087434193,2026-02-01 02:45:40
2026.000005340576,113181,113627,0.9960748765698294,114827.22087434193,2026-02-01 02:45:40
2028.0000057220457,113881,115755,0.983810634529826,114827.22087434193,2026-02-01 02:45:40
2030.0000061035155,114854,115317,0.9959849805319251,114827.22087434193,2026-02-01 02:45:40
2032.0000064849853,115883,116955,0.9908340814843316,114827.22087434193,2026-02-01 02:45:40
2034.000006866455,117100,118987,0.9841411246606773,114827.22087434193,2026-02-01 02:45:40
2036.0000072479247,118212,120442,0.9814848640839574,114827.22087434193,2026-02-01 02:45:40
2038.0000076293943,120403,121724,0.9891475797706286,114827.22087434193,2026-02-01 02:45:40
2040.0000080108641,121240,122705,0.988060796218573,114827.22087434193,2026-02-01 02:45:40
2042.000008392334,122525,124463,0.9844291074455862,114827.22087434193,2026-02-01 02:45:40
2044.0000087738035,123809,125387,0.9874149632737046,114827.22087434193,2026-02-01 02:45:40
2046.0000091552733,124756,126184,0.988683192797819,114827.22087434193,2026-02-01 02:45:40
2048.000009536743,125057,125932,0.9930518057364291,114827.22087434193,2026-02-01 02:45:40
2050.0000099182125,126137,127292,0.990926374006222,114827.22087434193,2026-02-01 02:45:40
2052.0000102996823,126482,126813,0.9973898575067225,114827.22087434193,2026-02-01 02:45:40
2054.000010681152,126679,126648,1.000244772913903,114827.22087434193,2026-02-01 02:45:40
2056.000011062622,126073,126519,0.9964748377714019,114827.22087434193,2026-02-01 02:45:40
2058.000011444092,125896,126642,0.9941093791948958,114827.22087434193,2026-02-01 02:45:40
2060.000011825561,125190,126167,0.9922562952277537,114827.22087434193,2026-02-01 02:45:40
2062.000012207031,124946,125489,0.9956729275075903,114827.22087434193,2026-02-01 02:45:40
2064.000012588501,124443,124498,0.9995582258349531,114827.22087434193,2026-02-01 02:45:40
2066.0000129699706,124125,124387,0.9978936705604283,114827.22087434193,2026-02-01 02:45:40
2068.0000133514404,122817,123545,0.9941074102553725,114827.22087434193,2026-02-01 02:45:40
2070.00001373291,123020,122858,1.0013185954516597,114827.22087434193,2026-02-01 02:45:40
2072.0000141143796,122796,121780,1.0083429134504844,114827.22087434193,2026-02-01 02:45:40
